router http://10.60.1.88:30000
worker http://10.60.1.22:35723 http://10.60.1.22:33855 http://10.60.1.88:39041 http://10.60.1.88:41431 http://10.60.1.123:33247 http://10.60.1.123:46631 http://10.60.1.19:44413 http://10.60.1.19:37359 http://10.60.1.137:43827 http://10.60.1.137:44959 http://10.60.1.145:38875 http://10.60.1.145:36539 
15:12:23 t=1786893143 | 10.60.1.22:35723 -- | 10.60.1.22:33855 -- | 10.60.1.88:39041 -- | 10.60.1.88:41431 -- | 10.60.1.123:33247 -- | 10.60.1.123:46631 -- | 10.60.1.19:44413 -- | 10.60.1.19:37359 -- | 43827     - req=0 0/0 kv= 0% pre=0 | 44959     - req=0 0/0 kv= 0% pre=0 | 38875     - req=0 0/0 kv= 0% pre=0 | 36539     - req=0 0/0 kv= 0% pre=0 || 合计 -
15:18:42 t=1786893522 | 35723  94.1% req=782 22/0 kv=16% pre=0 | 33855  93.9% req=770 20/0 kv=16% pre=0 | 39041  94.5% req=755 27/0 kv=22% pre=0 | 41431  93.6% req=720 32/0 kv=26% pre=0 | 33247  93.5% req=772 20/0 kv=15% pre=0 | 46631  94.3% req=748 28/0 kv=22% pre=0 | 44413  95.0% req=721 24/0 kv=20% pre=0 | 37359  95.0% req=786 13/0 kv=10% pre=0 | 43827  94.3% req=763 21/0 kv=15% pre=0 | 44959  93.2% req=757 21/0 kv=16% pre=0 | 38875  94.2% req=799 11/1 kv= 9% pre=0 | 36539  94.1% req=809 21/0 kv=16% pre=0 || 合计 94.1%
15:19:12 t=1786893552 | 35723  94.2% req=874 29/0 kv=23% pre=0 | 33855  95.2% req=871 18/0 kv=16% pre=0 | 39041  95.0% req=848 16/0 kv=14% pre=0 | 41431  94.5% req=804 35/0 kv=28% pre=0 | 33247  94.5% req=874 17/0 kv=15% pre=0 | 46631  93.9% req=850 19/0 kv=15% pre=0 | 44413  95.2% req=814 21/0 kv=20% pre=0 | 37359  94.9% req=875 26/0 kv=23% pre=0 | 43827  95.0% req=859 22/0 kv=18% pre=0 | 44959  94.7% req=847 33/0 kv=27% pre=0 | 38875  94.7% req=885 33/0 kv=27% pre=0 | 36539  94.7% req=913 19/0 kv=15% pre=0 || 合计 94.7%
15:19:43 t=1786893583 | 35723  94.6% req=964 9/0 kv= 7% pre=0 | 33855  95.1% req=959 9/0 kv= 8% pre=0 | 39041  96.2% req=924 26/0 kv=24% pre=0 | 41431  95.3% req=905 0/0 kv= 0% pre=0 | 33247  95.8% req=966 6/0 kv= 5% pre=0 | 46631  95.6% req=941 15/0 kv=13% pre=0 | 44413  95.7% req=911 1/0 kv= 1% pre=0 | 37359  95.9% req=961 38/0 kv=32% pre=0 | 43827  94.5% req=947 1/0 kv= 1% pre=0 | 44959  95.5% req=945 22/0 kv=16% pre=0 | 38875  95.9% req=957 17/0 kv=14% pre=0 | 36539  95.6% req=1016 11/0 kv=10% pre=0 || 合计 95.5%
15:20:13 t=1786893613 | 35723  95.9% req=1041 31/0 kv=28% pre=0 | 33855  95.8% req=1042 21/0 kv=19% pre=0 | 39041  95.7% req=1011 17/0 kv=16% pre=0 | 41431  96.0% req=995 3/0 kv= 2% pre=0 | 33247  96.3% req=1041 30/0 kv=27% pre=0 | 46631  95.1% req=1029 13/0 kv=13% pre=0 | 44413  95.7% req=1000 4/0 kv= 4% pre=0 | 37359  96.4% req=1069 18/0 kv=15% pre=0 | 43827  94.9% req=1029 2/0 kv= 2% pre=0 | 44959  95.6% req=1048 11/0 kv= 9% pre=0 | 38875  96.0% req=1051 10/0 kv= 9% pre=0 | 36539  96.0% req=1105 23/0 kv=20% pre=0 || 合计 95.8%
15:20:44 t=1786893644 | 35723  95.5% req=1132 29/0 kv=27% pre=0 | 33855  95.9% req=1125 20/0 kv=21% pre=0 | 39041  96.7% req=1088 14/0 kv=14% pre=0 | 41431  96.0% req=1062 18/0 kv=16% pre=0 | 33247  96.1% req=1135 22/0 kv=21% pre=0 | 46631  96.0% req=1111 25/0 kv=23% pre=0 | 44413  95.8% req=1067 24/0 kv=24% pre=0 | 37359  96.0% req=1167 3/0 kv= 3% pre=0 | 43827  95.9% req=1094 17/0 kv=16% pre=0 | 44959  95.6% req=1136 8/0 kv= 8% pre=0 | 38875  96.3% req=1128 11/0 kv=10% pre=0 | 36539  95.9% req=1196 22/0 kv=19% pre=0 || 合计 96.0%
15:21:14 t=1786893674 | 35723  96.3% req=1211 9/0 kv= 9% pre=0 | 33855  96.8% req=1203 11/0 kv=11% pre=0 | 39041  97.0% req=1146 14/0 kv=16% pre=0 | 41431  97.2% req=1132 19/0 kv=17% pre=0 | 33247  94.8% req=1205 13/0 kv=13% pre=0 | 46631  96.4% req=1188 17/0 kv=18% pre=0 | 44413  97.1% req=1138 20/0 kv=21% pre=0 | 37359  97.2% req=1225 26/0 kv=25% pre=0 | 43827  96.0% req=1161 12/0 kv=11% pre=0 | 44959  95.0% req=1200 18/0 kv=17% pre=0 | 38875  96.6% req=1198 10/0 kv=10% pre=0 | 36539  96.6% req=1270 23/0 kv=22% pre=0 || 合计 96.4%
15:21:45 t=1786893705 | 35723  97.5% req=1276 9/0 kv= 9% pre=0 | 33855  96.6% req=1264 10/0 kv=11% pre=0 | 39041  96.4% req=1203 10/0 kv=11% pre=0 | 41431  96.9% req=1199 14/0 kv=15% pre=0 | 33247  96.8% req=1276 17/0 kv=18% pre=0 | 46631  96.6% req=1263 17/0 kv=18% pre=0 | 44413  97.0% req=1203 13/0 kv=13% pre=0 | 37359  97.0% req=1303 16/0 kv=17% pre=0 | 43827  95.8% req=1219 15/0 kv=15% pre=0 | 44959  96.0% req=1265 14/0 kv=14% pre=0 | 38875  97.2% req=1257 6/0 kv= 6% pre=0 | 36539  96.3% req=1348 7/0 kv= 7% pre=0 || 合计 96.7%
15:22:15 t=1786893735 | 35723  97.3% req=1338 10/0 kv=11% pre=0 | 33855  96.3% req=1333 5/0 kv= 5% pre=0 | 39041  97.4% req=1257 1/0 kv= 1% pre=0 | 41431  96.9% req=1276 2/0 kv= 2% pre=0 | 33247  95.5% req=1356 2/0 kv= 2% pre=0 | 46631  96.3% req=1325 24/0 kv=25% pre=0 | 44413  97.4% req=1267 10/0 kv=11% pre=0 | 37359  96.8% req=1381 6/0 kv= 7% pre=0 | 43827  96.4% req=1283 3/0 kv= 2% pre=0 | 44959  97.0% req=1334 4/0 kv= 4% pre=0 | 38875  97.0% req=1308 7/0 kv= 7% pre=0 | 36539  97.3% req=1412 11/0 kv=12% pre=0 || 合计 96.8%
15:22:45 t=1786893765 | 35723  95.8% req=1379 10/0 kv=10% pre=0 | 33855  97.6% req=1382 11/0 kv=13% pre=0 | 39041  96.7% req=1292 5/0 kv= 6% pre=0 | 41431  96.9% req=1339 6/0 kv= 6% pre=0 | 33247  97.0% req=1424 4/0 kv= 4% pre=0 | 46631  97.5% req=1399 4/0 kv= 4% pre=0 | 44413  97.5% req=1316 9/0 kv=10% pre=0 | 37359  97.1% req=1443 9/0 kv=10% pre=0 | 43827  96.9% req=1338 7/0 kv= 7% pre=0 | 44959  97.1% req=1387 10/0 kv=11% pre=0 | 38875  97.4% req=1355 0/0 kv= 0% pre=0 | 36539  96.9% req=1473 7/0 kv= 7% pre=0 || 合计 97.1%
15:23:16 t=1786893796 | 35723  97.4% req=1426 9/0 kv=10% pre=0 | 33855  97.7% req=1430 7/0 kv= 9% pre=0 | 39041  97.6% req=1330 6/0 kv= 8% pre=0 | 41431  97.0% req=1395 12/0 kv=13% pre=0 | 33247  96.9% req=1481 18/0 kv=20% pre=0 | 46631  96.8% req=1453 19/0 kv=21% pre=0 | 44413  97.4% req=1361 7/0 kv= 8% pre=0 | 37359  97.5% req=1493 9/0 kv=10% pre=0 | 43827  96.2% req=1382 7/0 kv= 8% pre=0 | 44959  97.4% req=1438 10/0 kv=10% pre=0 | 38875  96.9% req=1387 5/0 kv= 6% pre=0 | 36539  97.5% req=1528 18/0 kv=20% pre=0 || 合计 97.2%
15:23:46 t=1786893826 | 35723  96.7% req=1460 4/0 kv= 5% pre=0 | 33855  97.8% req=1477 1/0 kv= 1% pre=0 | 39041  97.1% req=1361 5/0 kv= 7% pre=0 | 41431  97.6% req=1455 6/0 kv= 7% pre=0 | 33247  97.3% req=1552 8/0 kv= 9% pre=0 | 46631  97.2% req=1524 9/0 kv=11% pre=0 | 44413  97.1% req=1401 6/0 kv= 7% pre=0 | 37359  97.6% req=1547 6/0 kv= 7% pre=0 | 43827  95.9% req=1414 6/0 kv= 8% pre=0 | 44959  97.6% req=1482 0/0 kv= 0% pre=0 | 38875  97.3% req=1415 2/0 kv= 2% pre=0 | 36539  97.8% req=1597 6/0 kv= 7% pre=0 || 合计 97.3%
15:24:16 t=1786893856 | 35723  98.2% req=1478 2/0 kv= 2% pre=0 | 33855  97.6% req=1505 9/0 kv=11% pre=0 | 39041  98.3% req=1390 1/0 kv= 1% pre=0 | 41431  97.8% req=1494 11/0 kv=13% pre=0 | 33247  96.6% req=1600 12/0 kv=16% pre=0 | 46631  97.4% req=1566 11/0 kv=13% pre=0 | 44413  97.3% req=1434 3/0 kv= 4% pre=0 | 37359  97.0% req=1587 12/0 kv=15% pre=0 | 43827  98.0% req=1443 4/0 kv= 6% pre=0 | 44959  97.3% req=1512 7/0 kv= 8% pre=0 | 38875  97.9% req=1437 3/0 kv= 3% pre=0 | 36539  97.4% req=1638 13/0 kv=15% pre=0 || 合计 97.4%
15:24:47 t=1786893887 | 35723  97.9% req=1494 3/0 kv= 4% pre=0 | 33855  97.5% req=1547 8/0 kv=10% pre=0 | 39041  97.3% req=1409 2/0 kv= 2% pre=0 | 41431  97.7% req=1539 8/0 kv=10% pre=0 | 33247  97.5% req=1649 4/0 kv= 5% pre=0 | 46631  97.7% req=1611 6/0 kv= 8% pre=0 | 44413  97.7% req=1460 5/0 kv= 6% pre=0 | 37359  97.8% req=1635 12/0 kv=15% pre=0 | 43827  98.4% req=1464 1/0 kv= 1% pre=0 | 44959  97.5% req=1548 5/0 kv= 6% pre=0 | 38875  97.7% req=1459 2/0 kv= 2% pre=0 | 36539  97.8% req=1696 12/0 kv=14% pre=0 || 合计 97.7%
15:25:17 t=1786893917 | 35723  97.7% req=1510 2/0 kv= 2% pre=0 | 33855  98.1% req=1584 7/0 kv= 9% pre=0 | 39041  98.6% req=1421 2/0 kv= 2% pre=0 | 41431  97.7% req=1579 2/0 kv= 3% pre=0 | 33247  98.0% req=1676 3/0 kv= 4% pre=0 | 46631  97.7% req=1641 4/0 kv= 5% pre=0 | 44413  97.8% req=1483 3/0 kv= 4% pre=0 | 37359  96.6% req=1683 10/0 kv=14% pre=0 | 43827  97.9% req=1483 0/0 kv= 0% pre=0 | 44959  97.2% req=1573 3/0 kv= 4% pre=0 | 38875  97.6% req=1479 1/0 kv= 1% pre=0 | 36539  97.7% req=1754 6/0 kv= 7% pre=0 || 合计 97.6%
15:25:47 t=1786893947 | 35723  98.2% req=1524 1/0 kv= 1% pre=0 | 33855  97.9% req=1613 5/0 kv= 7% pre=0 | 39041  97.9% req=1434 1/0 kv= 1% pre=0 | 41431  98.2% req=1598 2/0 kv= 3% pre=0 | 33247  98.6% req=1696 2/0 kv= 3% pre=0 | 46631  97.6% req=1659 2/0 kv= 4% pre=0 | 44413  97.2% req=1501 3/0 kv= 4% pre=0 | 37359  98.0% req=1723 7/0 kv=11% pre=0 | 43827  97.6% req=1493 1/0 kv= 2% pre=0 | 44959  95.1% req=1588 1/0 kv= 1% pre=0 | 38875  96.4% req=1495 2/0 kv= 2% pre=0 | 36539  98.0% req=1791 6/0 kv= 7% pre=0 || 合计 97.7%
15:26:18 t=1786893978 | 35723  97.8% req=1536 2/0 kv= 3% pre=0 | 33855  97.8% req=1634 3/0 kv= 4% pre=0 | 39041  97.9% req=1445 1/0 kv= 1% pre=0 | 41431  98.1% req=1605 1/0 kv= 2% pre=0 | 33247  97.5% req=1712 2/0 kv= 3% pre=0 | 46631  98.6% req=1671 2/0 kv= 4% pre=0 | 44413  98.1% req=1518 2/0 kv= 3% pre=0 | 37359  98.2% req=1765 5/0 kv= 8% pre=0 | 43827  98.0% req=1499 0/0 kv= 0% pre=0 | 44959  98.4% req=1595 1/0 kv= 1% pre=0 | 38875  98.3% req=1508 2/0 kv= 2% pre=0 | 36539  97.8% req=1809 2/0 kv= 2% pre=0 || 合计 98.0%
15:26:48 t=1786894008 | 35723  98.1% req=1549 1/0 kv= 1% pre=0 | 33855  97.5% req=1650 2/0 kv= 3% pre=0 | 39041  98.0% req=1449 0/0 kv= 0% pre=0 | 41431  97.5% req=1608 0/0 kv= 0% pre=0 | 33247  98.5% req=1726 1/0 kv= 1% pre=0 | 46631  98.5% req=1682 1/0 kv= 2% pre=0 | 44413  98.1% req=1530 2/0 kv= 3% pre=0 | 37359  97.7% req=1796 5/0 kv= 8% pre=0 | 43827     - req=1499 0/0 kv= 0% pre=0 | 44959  98.4% req=1601 1/0 kv= 1% pre=0 | 38875  98.2% req=1522 1/0 kv= 1% pre=0 | 36539  96.7% req=1821 0/0 kv= 0% pre=0 || 合计 97.9%
15:27:18 t=1786894038 | 35723  98.2% req=1556 1/0 kv= 1% pre=0 | 33855  98.3% req=1659 0/0 kv= 0% pre=0 | 39041     - req=1449 0/0 kv= 0% pre=0 | 41431     - req=1608 0/0 kv= 0% pre=0 | 33247  98.7% req=1738 2/0 kv= 3% pre=0 | 46631  98.4% req=1684 0/0 kv= 0% pre=0 | 44413  97.5% req=1542 1/0 kv= 2% pre=0 | 37359  98.4% req=1821 1/0 kv= 2% pre=0 | 43827     - req=1499 0/0 kv= 0% pre=0 | 44959  99.0% req=1603 0/0 kv= 0% pre=0 | 38875  99.0% req=1524 0/0 kv= 0% pre=0 | 36539  97.7% req=1827 1/0 kv= 2% pre=0 || 合计 98.2%
15:27:49 t=1786894069 | 35723  98.2% req=1563 0/0 kv= 0% pre=0 | 33855  95.3% req=1665 1/0 kv= 2% pre=0 | 39041     - req=1449 0/0 kv= 0% pre=0 | 41431     - req=1608 0/0 kv= 0% pre=0 | 33247  98.5% req=1746 0/0 kv= 0% pre=0 | 46631     - req=1684 0/0 kv= 0% pre=0 | 44413  98.8% req=1548 0/0 kv= 0% pre=0 | 37359  98.2% req=1842 1/0 kv= 2% pre=0 | 43827     - req=1499 0/0 kv= 0% pre=0 | 44959     - req=1603 0/0 kv= 0% pre=0 | 38875     - req=1524 0/0 kv= 0% pre=0 | 36539  98.4% req=1833 1/0 kv= 2% pre=0 || 合计 98.0%
