router (none)
worker http://10.60.1.6:38261 http://10.60.1.6:38689 http://10.60.1.6:35481 http://10.60.1.6:41789 
01:56:26 t=1786845386 | 10.60.1.6:38261 -- | 10.60.1.6:38689 -- | 10.60.1.6:35481 -- | 10.60.1.6:41789 -- || 合计 -
02:08:49 t=1786846129 | 38261  92.7% req=377 0/0 kv= 0% pre=0 | 38689  85.4% req=405 3/0 kv= 2% pre=0 | 35481  96.6% req=424 1/0 kv= 1% pre=0 | 41789  96.3% req=343 2/0 kv= 2% pre=0 || 合计 93.9%
02:09:19 t=1786846159 | 38261  98.6% req=388 1/0 kv= 1% pre=0 | 38689  96.7% req=440 1/0 kv= 1% pre=0 | 35481  97.2% req=457 3/0 kv= 3% pre=0 | 41789  97.4% req=391 0/0 kv= 0% pre=0 || 合计 97.2%
02:09:49 t=1786846189 | 38261  89.1% req=403 1/0 kv= 1% pre=0 | 38689  98.6% req=448 0/0 kv= 0% pre=0 | 35481  97.1% req=499 3/0 kv= 4% pre=0 | 41789  96.5% req=442 1/0 kv= 1% pre=0 || 合计 96.3%
02:10:19 t=1786846219 | 38261  92.0% req=436 2/0 kv= 2% pre=0 | 38689  90.0% req=465 1/0 kv= 1% pre=0 | 35481  92.9% req=537 2/0 kv= 2% pre=0 | 41789  98.8% req=479 0/0 kv= 0% pre=0 || 合计 94.2%
02:10:49 t=1786846249 | 38261  94.5% req=470 0/0 kv= 0% pre=0 | 38689  86.1% req=476 2/0 kv= 1% pre=0 | 35481  96.4% req=573 0/0 kv= 0% pre=0 | 41789  92.2% req=519 1/0 kv= 0% pre=0 || 合计 93.5%
02:11:19 t=1786846279 | 38261  94.0% req=492 0/0 kv= 0% pre=0 | 38689  95.8% req=508 1/0 kv= 1% pre=0 | 35481  93.3% req=610 3/0 kv= 3% pre=0 | 41789  94.6% req=551 0/0 kv= 0% pre=0 || 合计 94.3%
02:11:49 t=1786846309 | 38261  97.7% req=518 1/0 kv= 1% pre=0 | 38689  91.7% req=536 2/0 kv= 1% pre=0 | 35481  98.0% req=641 1/0 kv= 1% pre=0 | 41789  92.4% req=596 2/0 kv= 1% pre=0 || 合计 95.4%
02:12:19 t=1786846339 | 38261  95.0% req=539 1/0 kv= 1% pre=0 | 38689  96.7% req=570 2/0 kv= 2% pre=0 | 35481  98.5% req=659 0/0 kv= 0% pre=0 | 41789  97.1% req=649 0/0 kv= 0% pre=0 || 合计 96.9%
02:12:49 t=1786846369 | 38261  96.8% req=568 2/0 kv= 1% pre=0 | 38689  94.9% req=612 3/0 kv= 3% pre=0 | 35481  88.9% req=678 0/0 kv= 0% pre=0 | 41789  95.6% req=682 1/0 kv= 1% pre=0 || 合计 94.7%
02:13:20 t=1786846400 | 38261  95.3% req=589 1/0 kv= 1% pre=0 | 38689  95.5% req=668 4/0 kv= 4% pre=0 | 35481  96.6% req=699 0/0 kv= 0% pre=0 | 41789  94.6% req=712 2/0 kv= 2% pre=0 || 合计 95.4%
02:13:50 t=1786846430 | 38261  86.2% req=614 0/0 kv= 0% pre=0 | 38689  97.7% req=702 2/0 kv= 3% pre=0 | 35481  85.4% req=735 2/0 kv= 2% pre=0 | 41789  95.5% req=743 0/0 kv= 0% pre=0 || 合计 91.2%
02:14:20 t=1786846460 | 38261  95.7% req=644 0/0 kv= 0% pre=0 | 38689  74.9% req=724 3/0 kv= 3% pre=0 | 35481  92.9% req=776 3/0 kv= 3% pre=0 | 41789  92.7% req=771 1/0 kv= 1% pre=0 || 合计 90.0%
02:14:50 t=1786846490 | 38261     - req=644 0/0 kv= 0% pre=0 | 38689  98.0% req=760 2/0 kv= 2% pre=0 | 35481  98.2% req=825 0/0 kv= 0% pre=0 | 41789  95.3% req=813 2/0 kv= 2% pre=0 || 合计 97.1%
02:15:20 t=1786846520 | 38261  83.9% req=662 2/0 kv= 2% pre=0 | 38689  93.7% req=771 1/0 kv= 0% pre=0 | 35481  96.8% req=864 1/0 kv= 1% pre=0 | 41789  94.9% req=862 3/0 kv= 3% pre=0 || 合计 94.3%
02:15:50 t=1786846550 | 38261  96.7% req=690 0/0 kv= 0% pre=0 | 38689  91.0% req=796 0/0 kv= 0% pre=0 | 35481  93.0% req=893 0/0 kv= 0% pre=0 | 41789  92.7% req=908 1/0 kv= 1% pre=0 || 合计 93.6%
02:16:20 t=1786846580 | 38261  92.1% req=713 1/0 kv= 1% pre=0 | 38689  90.7% req=832 2/0 kv= 2% pre=0 | 35481  93.7% req=923 3/0 kv= 3% pre=0 | 41789  97.5% req=944 2/0 kv= 2% pre=0 || 合计 93.8%
02:16:50 t=1786846610 | 38261  92.1% req=734 1/0 kv= 1% pre=0 | 38689  95.6% req=868 0/0 kv= 0% pre=0 | 35481  97.0% req=960 1/0 kv= 1% pre=0 | 41789  96.0% req=977 0/0 kv= 0% pre=0 || 合计 95.7%
02:17:20 t=1786846640 | 38261  97.4% req=753 0/0 kv= 0% pre=0 | 38689  98.4% req=910 4/0 kv= 4% pre=0 | 35481  98.4% req=991 2/0 kv= 3% pre=0 | 41789  97.9% req=1008 1/0 kv= 1% pre=0 || 合计 98.2%
02:17:50 t=1786846670 | 38261  66.8% req=767 2/0 kv= 2% pre=0 | 38689  93.0% req=942 1/0 kv= 1% pre=0 | 35481  86.8% req=1031 1/0 kv= 1% pre=0 | 41789  93.1% req=1042 1/0 kv= 1% pre=0 || 合计 86.1%
02:18:21 t=1786846701 | 38261  94.3% req=804 0/0 kv= 0% pre=0 | 38689  94.5% req=973 2/0 kv= 1% pre=0 | 35481  93.8% req=1065 2/0 kv= 2% pre=0 | 41789  81.1% req=1075 2/0 kv= 2% pre=0 || 合计 90.6%
02:18:51 t=1786846731 | 38261  94.5% req=838 4/0 kv= 4% pre=0 | 38689  97.1% req=1004 1/0 kv= 1% pre=0 | 35481  96.6% req=1101 2/0 kv= 2% pre=0 | 41789  95.1% req=1107 0/0 kv= 0% pre=0 || 合计 95.7%
02:19:21 t=1786846761 | 38261  96.5% req=883 2/0 kv= 2% pre=0 | 38689  84.6% req=1028 0/0 kv= 0% pre=0 | 35481  93.1% req=1137 1/0 kv= 1% pre=0 | 41789  96.0% req=1130 0/0 kv= 0% pre=0 || 合计 93.8%
02:19:51 t=1786846791 | 38261  94.9% req=914 1/0 kv= 1% pre=0 | 38689  92.8% req=1066 1/0 kv= 1% pre=0 | 35481  93.8% req=1175 2/0 kv= 1% pre=0 | 41789  94.0% req=1153 2/0 kv= 1% pre=0 || 合计 93.8%
02:20:21 t=1786846821 | 38261  93.6% req=941 2/0 kv= 2% pre=0 | 38689  97.5% req=1109 3/0 kv= 3% pre=0 | 35481  96.1% req=1209 2/0 kv= 2% pre=0 | 41789  95.8% req=1179 1/0 kv= 1% pre=0 || 合计 95.9%
02:20:51 t=1786846851 | 38261  93.6% req=969 2/0 kv= 1% pre=0 | 38689  95.8% req=1158 2/0 kv= 2% pre=0 | 35481  92.8% req=1229 1/0 kv= 1% pre=0 | 41789  86.3% req=1203 2/0 kv= 2% pre=0 || 合计 93.2%
02:21:21 t=1786846881 | 38261  92.3% req=1009 0/0 kv= 0% pre=0 | 38689  94.6% req=1193 0/0 kv= 0% pre=0 | 35481  91.9% req=1254 2/0 kv= 2% pre=0 | 41789  91.5% req=1228 2/0 kv= 2% pre=0 || 合计 92.8%
02:21:51 t=1786846911 | 38261  91.7% req=1048 0/0 kv= 0% pre=0 | 38689  98.7% req=1226 2/0 kv= 2% pre=0 | 35481  97.0% req=1287 0/0 kv= 0% pre=0 | 41789  95.9% req=1254 0/0 kv= 0% pre=0 || 合计 96.2%
02:22:21 t=1786846941 | 38261  97.6% req=1093 1/0 kv= 1% pre=0 | 38689  96.3% req=1259 1/0 kv= 1% pre=0 | 35481  97.6% req=1320 1/0 kv= 0% pre=0 | 41789  97.9% req=1272 1/0 kv= 1% pre=0 || 合计 97.3%
02:22:51 t=1786846971 | 38261  97.9% req=1127 1/0 kv= 1% pre=0 | 38689  91.0% req=1278 0/0 kv= 0% pre=0 | 35481  94.0% req=1354 0/0 kv= 0% pre=0 | 41789  93.9% req=1307 0/0 kv= 0% pre=0 || 合计 95.0%
02:23:22 t=1786847002 | 38261  77.9% req=1144 4/0 kv= 4% pre=0 | 38689  91.0% req=1301 1/0 kv= 1% pre=0 | 35481  83.2% req=1390 0/0 kv= 0% pre=0 | 41789  81.6% req=1328 1/0 kv= 1% pre=0 || 合计 82.4%
02:23:52 t=1786847032 | 38261  95.1% req=1154 0/0 kv= 0% pre=0 | 38689  95.9% req=1316 1/0 kv= 1% pre=0 | 35481  95.9% req=1421 2/0 kv= 2% pre=0 | 41789  94.3% req=1335 0/0 kv= 0% pre=0 || 合计 95.7%
02:24:22 t=1786847062 | 38261     - req=1154 0/0 kv= 0% pre=0 | 38689  97.5% req=1333 1/0 kv= 1% pre=0 | 35481  96.7% req=1441 0/0 kv= 0% pre=0 | 41789  97.0% req=1340 0/0 kv= 0% pre=0 || 合计 97.1%
02:24:52 t=1786847092 | 38261     - req=1154 0/0 kv= 0% pre=0 | 38689  98.9% req=1343 0/0 kv= 0% pre=0 | 35481  93.1% req=1442 0/0 kv= 0% pre=0 | 41789  97.2% req=1341 0/0 kv= 0% pre=0 || 合计 98.3%
