router http://10.60.1.88:30000
worker http://10.60.1.145:33603 http://10.60.1.50:33691 http://10.60.1.196:43181 http://10.60.1.50:40907 http://10.60.1.196:35655 http://10.60.1.145:36021 http://10.60.1.45:39065 
14:08:43 t=1786889323 | 33603     - req=0 0/0 kv= 0% pre=0 | 33691     - req=0 0/0 kv= 0% pre=0 | 43181     - req=0 0/0 kv= 0% pre=0 | 40907     - req=0 0/0 kv= 0% pre=0 | 35655     - req=0 0/0 kv= 0% pre=0 | 36021     - req=0 0/0 kv= 0% pre=0 | 39065     - req=0 0/0 kv= 0% pre=0 || 合计 -
14:15:46 t=1786889746 | 33603  96.6% req=545 2/0 kv= 2% pre=0 | 33691  97.4% req=411 2/0 kv= 2% pre=0 | 43181  96.2% req=583 5/0 kv= 5% pre=0 | 40907  96.0% req=522 1/0 kv= 1% pre=0 | 35655  96.4% req=397 3/0 kv= 3% pre=0 | 36021  96.1% req=544 2/0 kv= 3% pre=0 | 39065  95.9% req=511 4/0 kv= 4% pre=0 || 合计 96.4%
14:16:16 t=1786889776 | 33603  96.7% req=576 9/0 kv= 9% pre=0 | 33691  97.3% req=441 5/0 kv= 5% pre=0 | 43181  96.7% req=625 6/0 kv= 6% pre=0 | 40907  96.7% req=550 9/0 kv= 9% pre=0 | 35655  96.3% req=425 3/0 kv= 3% pre=0 | 36021  96.5% req=577 8/0 kv= 8% pre=0 | 39065  97.4% req=541 4/0 kv= 5% pre=0 || 合计 96.8%
14:16:46 t=1786889806 | 33603  96.9% req=611 4/0 kv= 3% pre=0 | 33691  97.6% req=470 5/0 kv= 5% pre=0 | 43181  96.5% req=665 7/0 kv= 8% pre=0 | 40907  97.1% req=591 2/0 kv= 2% pre=0 | 35655  96.1% req=446 0/0 kv= 0% pre=0 | 36021  96.4% req=616 6/0 kv= 6% pre=0 | 39065  95.3% req=564 3/0 kv= 3% pre=0 || 合计 96.6%
14:17:17 t=1786889837 | 33603  97.0% req=638 0/0 kv= 0% pre=0 | 33691  97.9% req=498 1/0 kv= 1% pre=0 | 43181  97.4% req=710 0/0 kv= 0% pre=0 | 40907  96.8% req=621 0/0 kv= 0% pre=0 | 35655  96.8% req=455 1/0 kv= 1% pre=0 | 36021  96.3% req=657 0/0 kv= 0% pre=0 | 39065  96.9% req=583 1/0 kv= 1% pre=0 || 合计 97.0%
14:17:47 t=1786889867 | 33603  96.9% req=654 3/0 kv= 3% pre=0 | 33691  96.4% req=520 8/0 kv=10% pre=0 | 43181  97.0% req=734 9/0 kv=10% pre=0 | 40907  97.5% req=643 7/0 kv= 7% pre=0 | 35655  96.3% req=459 1/0 kv= 1% pre=0 | 36021  96.2% req=682 5/0 kv= 5% pre=0 | 39065  97.5% req=595 2/0 kv= 3% pre=0 || 合计 96.8%
14:18:17 t=1786889897 | 33603  96.4% req=667 0/0 kv= 0% pre=0 | 33691  97.0% req=554 1/0 kv= 1% pre=0 | 43181  96.5% req=766 1/0 kv= 1% pre=0 | 40907  96.5% req=674 0/0 kv= 0% pre=0 | 35655  96.7% req=464 0/0 kv= 0% pre=0 | 36021  97.4% req=712 3/0 kv= 3% pre=0 | 39065  98.3% req=603 1/0 kv= 2% pre=0 || 合计 96.9%
14:18:47 t=1786889927 | 33603  96.9% req=675 2/0 kv= 2% pre=0 | 33691  97.7% req=577 6/0 kv= 7% pre=0 | 43181  98.0% req=786 6/0 kv= 7% pre=0 | 40907  97.9% req=696 8/0 kv= 9% pre=0 | 35655  98.0% req=468 1/0 kv= 1% pre=0 | 36021  96.6% req=741 5/0 kv= 6% pre=0 | 39065  97.9% req=608 1/0 kv= 2% pre=0 || 合计 97.5%
14:19:17 t=1786889957 | 33603  96.9% req=686 1/0 kv= 1% pre=0 | 33691  97.5% req=598 4/0 kv= 5% pre=0 | 43181  97.9% req=809 3/0 kv= 4% pre=0 | 40907  97.2% req=729 6/0 kv= 6% pre=0 | 35655  96.7% req=473 0/0 kv= 0% pre=0 | 36021  97.0% req=764 4/0 kv= 4% pre=0 | 39065  98.9% req=614 0/0 kv= 0% pre=0 || 合计 97.4%
14:19:48 t=1786889988 | 33603  97.7% req=691 0/0 kv= 0% pre=0 | 33691  98.2% req=620 3/0 kv= 4% pre=0 | 43181  98.5% req=825 2/0 kv= 3% pre=0 | 40907  97.3% req=765 1/0 kv= 1% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021  98.0% req=784 2/0 kv= 3% pre=0 | 39065  98.3% req=620 1/0 kv= 2% pre=0 || 合计 97.9%
14:20:18 t=1786890018 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691  98.3% req=640 2/0 kv= 3% pre=0 | 43181  97.4% req=837 0/0 kv= 0% pre=0 | 40907  97.7% req=794 4/0 kv= 4% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021  98.4% req=797 2/0 kv= 3% pre=0 | 39065  98.4% req=626 1/0 kv= 2% pre=0 || 合计 98.0%
14:20:48 t=1786890048 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691  97.3% req=656 1/0 kv= 2% pre=0 | 43181  99.2% req=844 1/0 kv= 1% pre=0 | 40907  97.5% req=818 4/0 kv= 5% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021  98.0% req=809 2/0 kv= 3% pre=0 | 39065  98.0% req=630 0/0 kv= 0% pre=0 || 合计 97.8%
14:21:18 t=1786890078 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691  96.4% req=662 1/0 kv= 2% pre=0 | 43181  95.3% req=847 0/0 kv= 0% pre=0 | 40907  97.7% req=841 3/0 kv= 3% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021  97.4% req=820 1/0 kv= 1% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 97.2%
14:21:48 t=1786890108 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691  98.4% req=668 1/0 kv= 2% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907  97.1% req=857 2/0 kv= 2% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021  98.4% req=827 1/0 kv= 1% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 97.8%
14:22:18 t=1786890138 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691  98.3% req=675 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907  97.5% req=870 1/0 kv= 1% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021  98.2% req=833 1/0 kv= 1% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 98.0%
14:22:49 t=1786890169 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691  98.1% req=681 1/0 kv= 2% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907  97.9% req=877 1/0 kv= 1% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021  98.5% req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 98.2%
14:23:19 t=1786890199 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907  97.4% req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 97.4%
14:23:49 t=1786890229 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:24:19 t=1786890259 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:24:49 t=1786890289 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:25:20 t=1786890320 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:25:50 t=1786890350 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:26:20 t=1786890380 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:26:50 t=1786890410 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:27:20 t=1786890440 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:27:50 t=1786890470 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:28:21 t=1786890501 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:28:51 t=1786890531 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:29:21 t=1786890561 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:29:51 t=1786890591 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:30:21 t=1786890621 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:30:51 t=1786890652 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:31:22 t=1786890682 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:31:52 t=1786890712 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:32:22 t=1786890742 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:32:52 t=1786890772 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:33:22 t=1786890802 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:33:53 t=1786890833 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:34:23 t=1786890863 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:34:53 t=1786890893 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:35:23 t=1786890923 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:35:53 t=1786890953 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:36:23 t=1786890983 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:36:54 t=1786891014 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:37:24 t=1786891044 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:37:54 t=1786891074 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:38:24 t=1786891104 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:38:54 t=1786891134 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
14:39:25 t=1786891165 | 33603     - req=691 0/0 kv= 0% pre=0 | 33691     - req=682 0/0 kv= 0% pre=0 | 43181     - req=847 0/0 kv= 0% pre=0 | 40907     - req=881 0/0 kv= 0% pre=0 | 35655     - req=473 0/0 kv= 0% pre=0 | 36021     - req=840 0/0 kv= 0% pre=0 | 39065     - req=630 0/0 kv= 0% pre=0 || 合计 -
