router (none)
worker http://10.60.1.239:44989 http://10.60.1.239:41209 http://10.60.1.196:41875 http://10.60.1.196:42737 http://10.60.1.6:45075 http://10.60.1.6:43475 http://10.60.1.169:46383 http://10.60.1.169:44235 http://10.60.1.64:40411 http://10.60.1.64:37533 http://10.60.1.45:36489 http://10.60.1.45:46191 
10:12:31 t=1787047951 | 10.60.1.239:44989 -- | 10.60.1.239:41209 -- | 10.60.1.196:41875 -- | 10.60.1.196:42737 -- | 10.60.1.6:45075 -- | 10.60.1.6:43475 -- | 10.60.1.169:46383 -- | 10.60.1.169:44235 -- | 40411     - req=0 0/0 kv= 0% pre=0 | 37533     - req=0 0/0 kv= 0% pre=0 | 36489     - req=0 0/0 kv= 0% pre=0 | 46191     - req=0 0/0 kv= 0% pre=0 || 合计 -
10:18:46 t=1787048326 | 44989  94.3% req=691 19/0 kv=15% pre=0 | 41209  93.3% req=672 6/0 kv= 4% pre=0 | 41875  94.2% req=735 23/0 kv=19% pre=0 | 42737  93.3% req=703 37/0 kv=28% pre=0 | 45075  92.8% req=797 1/0 kv= 1% pre=0 | 43475  93.0% req=783 2/0 kv= 1% pre=0 | 46383  94.0% req=744 21/0 kv=16% pre=0 | 44235  93.7% req=789 2/0 kv= 1% pre=0 | 40411  94.0% req=707 41/0 kv=32% pre=0 | 37533  92.9% req=765 9/0 kv= 7% pre=0 | 36489  95.4% req=708 0/0 kv= 0% pre=0 | 46191  94.7% req=678 3/0 kv= 2% pre=0 || 合计 93.7%
10:19:17 t=1787048357 | 44989  94.8% req=788 8/0 kv= 7% pre=0 | 41209  94.2% req=732 48/0 kv=36% pre=0 | 41875  94.7% req=840 34/0 kv=27% pre=0 | 42737  95.0% req=812 3/0 kv= 2% pre=0 | 45075  94.3% req=895 1/0 kv= 1% pre=0 | 43475  94.8% req=849 44/0 kv=34% pre=0 | 46383  95.0% req=840 40/0 kv=32% pre=0 | 44235  94.1% req=888 6/0 kv= 4% pre=0 | 40411  94.6% req=825 1/0 kv= 1% pre=0 | 37533  93.1% req=859 17/4 kv=14% pre=0 | 36489  95.0% req=771 28/0 kv=25% pre=0 | 46191  95.9% req=759 9/0 kv= 8% pre=0 || 合计 94.6%
10:19:47 t=1787048387 | 44989  95.1% req=872 3/0 kv= 3% pre=0 | 41209  94.5% req=831 13/0 kv= 9% pre=0 | 41875  94.7% req=922 41/0 kv=35% pre=0 | 42737  95.3% req=879 29/0 kv=25% pre=0 | 45075  93.8% req=989 6/0 kv= 4% pre=0 | 43475  94.5% req=945 48/0 kv=38% pre=0 | 46383  95.4% req=927 40/0 kv=33% pre=0 | 44235  94.9% req=987 8/0 kv= 6% pre=0 | 40411  95.7% req=900 30/0 kv=27% pre=0 | 37533  94.9% req=947 33/0 kv=27% pre=0 | 36489  96.0% req=853 25/0 kv=24% pre=0 | 46191  95.1% req=830 19/0 kv=18% pre=0 || 合计 95.0%
10:20:17 t=1787048417 | 44989  96.3% req=951 3/0 kv= 2% pre=0 | 41209  95.6% req=907 17/0 kv=12% pre=0 | 41875  95.8% req=1022 21/0 kv=21% pre=0 | 42737  95.4% req=966 27/0 kv=24% pre=0 | 45075  95.2% req=1088 11/0 kv= 9% pre=0 | 43475  95.7% req=1081 5/0 kv= 4% pre=0 | 46383  95.3% req=1043 4/0 kv= 3% pre=0 | 44235  94.6% req=1066 34/0 kv=29% pre=0 | 40411  95.7% req=1004 5/0 kv= 5% pre=0 | 37533  95.3% req=1027 35/0 kv=31% pre=0 | 36489  96.6% req=929 11/0 kv=13% pre=0 | 46191  97.0% req=899 19/0 kv=19% pre=0 || 合计 95.6%
10:20:48 t=1787048448 | 44989  96.4% req=1025 18/0 kv=15% pre=0 | 41209  95.2% req=969 39/0 kv=33% pre=0 | 41875  96.2% req=1117 7/0 kv= 6% pre=0 | 42737  96.0% req=1056 6/0 kv= 5% pre=0 | 45075  95.4% req=1186 10/0 kv= 9% pre=0 | 43475  95.4% req=1172 3/0 kv= 2% pre=0 | 46383  95.7% req=1115 32/0 kv=29% pre=0 | 44235  95.2% req=1169 2/0 kv= 2% pre=0 | 40411  96.6% req=1077 20/0 kv=20% pre=0 | 37533  95.8% req=1129 1/0 kv= 1% pre=0 | 36489  97.1% req=995 8/0 kv= 9% pre=0 | 46191  97.1% req=962 13/0 kv=13% pre=0 || 合计 96.0%
10:21:18 t=1787048478 | 44989  95.4% req=1111 3/0 kv= 3% pre=0 | 41209  95.8% req=1050 22/0 kv=18% pre=0 | 41875  96.1% req=1193 18/0 kv=17% pre=0 | 42737  96.6% req=1122 16/0 kv=16% pre=0 | 45075  96.5% req=1277 4/0 kv= 4% pre=0 | 43475  95.5% req=1254 0/0 kv= 0% pre=0 | 46383  96.2% req=1207 18/0 kv=17% pre=0 | 44235  96.1% req=1230 24/0 kv=23% pre=0 | 40411  97.0% req=1150 24/0 kv=25% pre=0 | 37533  95.9% req=1194 30/0 kv=29% pre=0 | 36489  96.5% req=1053 2/0 kv= 2% pre=0 | 46191  96.6% req=1013 8/0 kv= 8% pre=0 || 合计 96.2%
10:21:48 t=1787048508 | 44989  96.7% req=1162 20/0 kv=21% pre=0 | 41209  96.8% req=1135 9/0 kv= 7% pre=0 | 41875  95.6% req=1271 7/0 kv= 7% pre=0 | 42737  97.4% req=1185 10/0 kv=11% pre=0 | 45075  96.8% req=1343 29/0 kv=28% pre=0 | 43475  95.9% req=1327 17/0 kv=15% pre=0 | 46383  96.3% req=1297 0/0 kv= 0% pre=0 | 44235  96.5% req=1308 22/0 kv=22% pre=0 | 40411  96.5% req=1229 21/0 kv=22% pre=0 | 37533  96.9% req=1283 7/0 kv= 7% pre=0 | 36489  97.0% req=1100 6/0 kv= 7% pre=0 | 46191  97.1% req=1057 7/0 kv= 8% pre=0 || 合计 96.6%
10:22:19 t=1787048539 | 44989  97.5% req=1232 17/0 kv=18% pre=0 | 41209  95.7% req=1216 4/0 kv= 3% pre=0 | 41875  96.8% req=1328 21/0 kv=23% pre=0 | 42737  97.3% req=1246 16/0 kv=18% pre=0 | 45075  96.7% req=1430 25/0 kv=26% pre=0 | 43475  95.3% req=1407 18/0 kv=17% pre=0 | 46383  96.6% req=1357 24/0 kv=25% pre=0 | 44235  97.3% req=1377 18/0 kv=18% pre=0 | 40411  96.9% req=1293 18/0 kv=19% pre=0 | 37533  96.5% req=1346 24/0 kv=25% pre=0 | 36489  97.8% req=1140 8/0 kv= 9% pre=0 | 46191  97.9% req=1091 6/0 kv= 7% pre=0 || 合计 96.8%
10:22:49 t=1787048569 | 44989  96.6% req=1296 3/0 kv= 3% pre=0 | 41209  96.7% req=1261 33/0 kv=31% pre=0 | 41875  97.1% req=1394 15/0 kv=17% pre=0 | 42737  97.6% req=1303 8/0 kv=10% pre=0 | 45075  97.2% req=1498 17/0 kv=18% pre=0 | 43475  96.9% req=1481 25/0 kv=25% pre=0 | 46383  96.9% req=1434 21/0 kv=23% pre=0 | 44235  97.1% req=1445 15/0 kv=16% pre=0 | 40411  97.5% req=1362 6/0 kv= 7% pre=0 | 37533  96.6% req=1425 23/0 kv=24% pre=0 | 36489  95.8% req=1173 3/0 kv= 4% pre=0 | 46191  97.7% req=1118 2/0 kv= 2% pre=0 || 合计 97.0%
10:23:19 t=1787048599 | 44989  97.1% req=1339 8/0 kv= 9% pre=0 | 41209  96.3% req=1330 28/0 kv=28% pre=0 | 41875  96.7% req=1446 13/0 kv=15% pre=0 | 42737  97.8% req=1348 2/0 kv= 3% pre=0 | 45075  97.0% req=1570 4/0 kv= 5% pre=0 | 43475  96.4% req=1569 17/0 kv=18% pre=0 | 46383  97.2% req=1500 16/0 kv=18% pre=0 | 44235  97.2% req=1498 10/0 kv=10% pre=0 | 40411  97.4% req=1416 7/0 kv= 8% pre=0 | 37533  97.0% req=1493 19/0 kv=20% pre=0 | 36489  98.2% req=1190 2/0 kv= 3% pre=0 | 46191  97.9% req=1136 3/0 kv= 4% pre=0 || 合计 97.0%
