router http://10.60.1.88:30000
worker http://10.60.1.19:35997 http://10.60.1.19:35089 http://10.60.1.22:33833 http://10.60.1.22:39477 http://10.60.1.123:32925 http://10.60.1.123:37455 http://10.60.1.88:32985 http://10.60.1.88:34507 http://10.60.1.45:34887 http://10.60.1.45:37879 http://10.60.1.167:34035 http://10.60.1.167:35269 
15:47:55 t=1786895275 | 10.60.1.19:35997 -- | 10.60.1.19:35089 -- | 10.60.1.22:33833 -- | 10.60.1.22:39477 -- | 10.60.1.123:32925 -- | 10.60.1.123:37455 -- | 32985     - req=0 0/0 kv= 0% pre=0 | 34507     - req=0 0/0 kv= 0% pre=0 | 34887     - req=0 0/0 kv= 0% pre=0 | 37879     - req=0 0/0 kv= 0% pre=0 | 34035     - req=0 0/0 kv= 0% pre=0 | 35269     - req=0 0/0 kv= 0% pre=0 || 合计 -
15:54:04 t=1786895644 | 35997  95.0% req=727 4/0 kv= 3% pre=0 | 35089  95.6% req=648 0/0 kv= 0% pre=0 | 33833  93.8% req=788 17/0 kv=13% pre=0 | 39477  93.4% req=738 15/0 kv=11% pre=0 | 32925  94.2% req=717 37/0 kv=29% pre=0 | 37455  89.1% req=506 62/0 kv=36% pre=0 | 32985  94.8% req=690 8/0 kv= 6% pre=0 | 34507  92.9% req=724 42/0 kv=32% pre=0 | 34887  92.8% req=747 1/0 kv= 1% pre=0 | 37879  93.6% req=718 37/0 kv=27% pre=0 | 34035  94.9% req=675 8/0 kv= 7% pre=0 | 35269  92.9% req=757 49/2 kv=35% pre=0 || 合计 93.6%
15:54:34 t=1786895674 | 35997  94.4% req=800 26/0 kv=22% pre=0 | 35089  95.4% req=724 1/0 kv= 1% pre=0 | 33833  94.4% req=896 9/0 kv= 7% pre=0 | 39477  94.5% req=828 33/0 kv=26% pre=0 | 32925  94.5% req=821 23/0 kv=18% pre=0 | 37455  88.9% req=637 8/0 kv= 5% pre=0 | 32985  94.5% req=780 0/0 kv= 0% pre=0 | 34507  94.4% req=836 35/0 kv=27% pre=0 | 34887  94.4% req=830 14/0 kv=11% pre=0 | 37879  94.5% req=826 2/0 kv= 1% pre=0 | 34035  94.6% req=748 30/0 kv=26% pre=0 | 35269  93.6% req=870 29/1 kv=21% pre=0 || 合计 94.1%
15:55:04 t=1786895704 | 35997  95.2% req=899 1/0 kv= 1% pre=0 | 35089  96.2% req=794 1/0 kv= 1% pre=0 | 33833  94.8% req=1001 8/0 kv= 6% pre=0 | 39477  95.4% req=943 0/0 kv= 0% pre=0 | 32925  95.2% req=907 25/0 kv=22% pre=0 | 37455  91.2% req=705 23/1 kv=16% pre=0 | 32985  94.6% req=858 7/0 kv= 6% pre=0 | 34507  95.1% req=960 12/0 kv=10% pre=0 | 34887  95.0% req=912 25/0 kv=24% pre=0 | 37879  95.9% req=926 0/0 kv= 0% pre=0 | 34035  95.7% req=847 12/0 kv=10% pre=0 | 35269  94.4% req=973 23/0 kv=16% pre=0 || 合计 94.9%
15:55:35 t=1786895735 | 35997  96.0% req=983 0/0 kv= 0% pre=0 | 35089  96.6% req=856 15/0 kv=14% pre=0 | 33833  95.3% req=1098 5/0 kv= 4% pre=0 | 39477  95.6% req=1010 21/0 kv=18% pre=0 | 32925  95.7% req=988 17/0 kv=16% pre=0 | 37455  92.4% req=788 64/0 kv=44% pre=0 | 32985  95.6% req=934 23/0 kv=20% pre=0 | 34507  96.2% req=1051 15/0 kv=14% pre=0 | 34887  96.3% req=1007 6/0 kv= 6% pre=0 | 37879  94.0% req=989 29/0 kv=25% pre=0 | 34035  96.5% req=933 9/0 kv= 9% pre=0 | 35269  94.8% req=1066 30/0 kv=24% pre=0 || 合计 95.3%
15:56:05 t=1786895765 | 35997  95.5% req=1038 23/0 kv=23% pre=0 | 35089  97.1% req=916 20/0 kv=19% pre=0 | 33833  96.0% req=1186 18/0 kv=16% pre=0 | 39477  95.8% req=1106 4/0 kv= 4% pre=0 | 32925  95.9% req=1065 14/0 kv=14% pre=0 | 37455  93.1% req=924 34/3 kv=25% pre=0 | 32985  96.0% req=1006 33/0 kv=33% pre=0 | 34507  96.1% req=1130 21/1 kv=19% pre=0 | 34887  96.5% req=1083 11/0 kv=11% pre=0 | 37879  96.4% req=1076 28/0 kv=25% pre=0 | 34035  96.2% req=998 20/0 kv=20% pre=0 | 35269  95.6% req=1140 32/0 kv=27% pre=0 || 合计 95.8%
15:56:36 t=1786895796 | 35997  97.2% req=1119 12/0 kv=14% pre=0 | 35089  96.9% req=992 14/0 kv=13% pre=0 | 33833  95.6% req=1268 33/0 kv=29% pre=0 | 39477  96.6% req=1170 26/0 kv=25% pre=0 | 32925  96.2% req=1132 12/0 kv=13% pre=0 | 37455  94.3% req=1051 3/0 kv= 2% pre=0 | 32985  96.5% req=1091 12/0 kv=11% pre=0 | 34507  96.6% req=1206 33/0 kv=31% pre=0 | 34887  96.6% req=1165 14/0 kv=15% pre=0 | 37879  96.3% req=1157 19/0 kv=18% pre=0 | 34035  96.1% req=1069 19/0 kv=20% pre=0 | 35269  96.2% req=1234 28/0 kv=24% pre=0 || 合计 96.2%
15:57:06 t=1786895826 | 35997  97.5% req=1184 11/0 kv=13% pre=0 | 35089  96.9% req=1045 11/0 kv=11% pre=0 | 33833  96.3% req=1344 36/0 kv=34% pre=0 | 39477  97.1% req=1250 24/0 kv=24% pre=0 | 32925  97.3% req=1183 12/0 kv=13% pre=0 | 37455  94.6% req=1169 0/0 kv= 0% pre=0 | 32985  96.7% req=1150 23/0 kv=26% pre=0 | 34507  96.1% req=1282 33/0 kv=31% pre=0 | 34887  96.9% req=1238 5/0 kv= 6% pre=0 | 37879  96.0% req=1229 13/0 kv=14% pre=0 | 34035  96.8% req=1141 2/0 kv= 2% pre=0 | 35269  96.6% req=1320 21/0 kv=19% pre=0 || 合计 96.5%
15:57:36 t=1786895856 | 35997  96.5% req=1234 13/0 kv=15% pre=0 | 35089  97.0% req=1091 9/0 kv= 9% pre=0 | 33833  96.4% req=1445 5/0 kv= 5% pre=0 | 39477  96.7% req=1324 10/0 kv=11% pre=0 | 32925  97.3% req=1233 6/0 kv= 7% pre=0 | 37455  94.7% req=1227 53/0 kv=43% pre=0 | 32985  97.0% req=1218 9/0 kv=10% pre=0 | 34507  96.1% req=1375 2/0 kv= 2% pre=0 | 34887  97.0% req=1305 1/0 kv= 1% pre=0 | 37879  96.6% req=1289 14/0 kv=14% pre=0 | 34035  96.9% req=1189 8/0 kv=10% pre=0 | 35269  96.5% req=1391 22/0 kv=21% pre=0 || 合计 96.5%
15:58:07 t=1786895887 | 35997  97.5% req=1278 7/0 kv= 9% pre=0 | 35089  97.3% req=1128 2/0 kv= 2% pre=0 | 33833  96.8% req=1512 26/0 kv=26% pre=0 | 39477  97.7% req=1393 6/0 kv= 5% pre=0 | 32925  97.4% req=1263 5/0 kv= 6% pre=0 | 37455  95.8% req=1339 53/0 kv=44% pre=0 | 32985  97.3% req=1273 21/0 kv=25% pre=0 | 34507  97.1% req=1437 19/0 kv=19% pre=0 | 34887  97.6% req=1361 14/0 kv=17% pre=0 | 37879  97.9% req=1347 10/0 kv= 9% pre=0 | 34035  97.3% req=1242 9/0 kv=12% pre=0 | 35269  96.7% req=1454 18/0 kv=18% pre=0 || 合计 97.1%
15:58:37 t=1786895917 | 35997  97.4% req=1310 5/0 kv= 7% pre=0 | 35089  96.9% req=1159 2/0 kv= 3% pre=0 | 33833  97.0% req=1591 20/0 kv=20% pre=0 | 39477  97.2% req=1452 15/0 kv=16% pre=0 | 32925  97.6% req=1289 4/0 kv= 5% pre=0 | 37455  96.0% req=1447 44/0 kv=38% pre=0 | 32985  97.2% req=1337 8/0 kv=10% pre=0 | 34507  97.1% req=1514 10/0 kv=11% pre=0 | 34887  97.7% req=1427 15/0 kv=18% pre=0 | 37879  96.8% req=1391 7/0 kv= 7% pre=0 | 34035  97.7% req=1285 7/0 kv= 8% pre=0 | 35269  96.9% req=1522 11/0 kv=11% pre=0 || 合计 97.1%
