router http://10.60.1.88:30000
worker http://10.60.1.22:35335 http://10.60.1.22:45815 http://10.60.1.167:33809 http://10.60.1.167:37605 
13:44:42 t=1786887882 | 35335  97.5% req=715 4/0 kv= 5% pre=0 | 45815  99.4% req=554 1/0 kv= 2% pre=0 | 33809  98.3% req=501 3/0 kv= 4% pre=0 | 37605  96.3% req=802 6/0 kv= 7% pre=0 || 合计 97.4%
13:45:12 t=1786887912 | 35335  98.1% req=731 2/0 kv= 3% pre=0 | 45815  98.5% req=559 1/0 kv= 2% pre=0 | 33809  97.0% req=509 1/0 kv= 1% pre=0 | 37605  96.5% req=827 5/0 kv= 7% pre=0 || 合计 97.3%
13:45:42 t=1786887942 | 35335  98.1% req=744 1/0 kv= 1% pre=0 | 45815  99.0% req=562 0/0 kv= 0% pre=0 | 33809  98.2% req=516 1/0 kv= 1% pre=0 | 37605  98.5% req=853 4/0 kv= 6% pre=0 || 合计 98.4%
13:46:13 t=1786887973 | 35335  96.7% req=751 1/0 kv= 1% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809  97.8% req=522 1/0 kv= 1% pre=0 | 37605  96.8% req=874 2/0 kv= 3% pre=0 || 合计 96.9%
13:46:43 t=1786888003 | 35335  98.1% req=757 1/0 kv= 1% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809  96.9% req=529 0/0 kv= 0% pre=0 | 37605  97.9% req=887 1/0 kv= 2% pre=0 || 合计 97.7%
13:47:13 t=1786888033 | 35335  97.3% req=764 1/0 kv= 1% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605  98.8% req=899 2/0 kv= 3% pre=0 || 合计 98.4%
13:47:43 t=1786888063 | 35335  98.5% req=770 1/0 kv= 1% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605  98.2% req=909 1/0 kv= 1% pre=0 || 合计 98.3%
13:48:13 t=1786888093 | 35335  97.8% req=776 1/0 kv= 1% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605  98.8% req=915 0/0 kv= 0% pre=0 || 合计 98.3%
13:48:43 t=1786888123 | 35335  98.8% req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 98.8%
13:49:13 t=1786888153 | 35335     - req=779 0/0 kv= 0% pre=0 | 45815     - req=562 0/0 kv= 0% pre=0 | 33809     - req=529 0/0 kv= 0% pre=0 | 37605     - req=915 0/0 kv= 0% pre=0 || 合计 -
